epoch,train_loss,val_loss,val_r2,val_pearson,val_mae_avg,grad_norm,lr,MAE_Phys_P0,MAE_Phys_P1,MAE_Phys_P2
1,0.5418743096982328,0.1963864942140217,0.804074227809906,0.9106707572937012,0.28275165,1.7137394103760155,0.001,0.3564656,0.43750575,0.054283597
2,0.19012877735467001,0.1100395299211333,0.890300452709198,0.9469390511512756,0.16086866,0.9916460650226179,0.001,0.2731176,0.16500382,0.044484537
3,0.1373444091016873,0.0911578045615667,0.909106433391571,0.9553543925285339,0.13497683,0.7090688238319117,0.001,0.20524172,0.15901327,0.040675502
4,0.11482645833073332,0.06716788569583168,0.9330431818962097,0.9664899706840515,0.123261996,0.573923650545815,0.001,0.17380866,0.16177177,0.034205545
5,0.10097496958967216,0.06180424026296109,0.9383817315101624,0.9693868160247803,0.11100977,0.5212698540748498,0.001,0.1677246,0.13231432,0.032990366
6,0.09239793966372555,0.04836358299738244,0.9518094062805176,0.976011335849762,0.09995118,0.49487062936392834,0.001,0.15929319,0.11271165,0.027848681
7,0.0813754876962485,0.04958450945117806,0.9505596160888672,0.9769558906555176,0.09966421,0.43816806314090573,0.001,0.16238199,0.1088009,0.027809754
8,0.07589986758491102,0.04454181767717193,0.9555934071540833,0.9797113537788391,0.10677271,0.41544163874543893,0.001,0.13505273,0.15886877,0.026396643
9,0.06875049725127297,0.040217046496234365,0.9599077105522156,0.9804277420043945,0.08948502,0.36187316605839104,0.001,0.1356229,0.107315294,0.025516864
10,0.06398932850018096,0.034081199501134175,0.9660364985466003,0.9831631183624268,0.08680197,0.3576218973809538,0.001,0.1285437,0.10984317,0.022019016
11,0.058069418032710166,0.033325937729847585,0.9667922854423523,0.9838126301765442,0.08337712,0.31057498563592806,0.001,0.11713417,0.110765725,0.022231469
12,0.05344791229540548,0.029770205292520644,0.9703779220581055,0.9864469170570374,0.072594695,0.28044743359850616,0.001,0.10869968,0.08749379,0.021590611
13,0.049828568967386556,0.030052673967578745,0.9700741767883301,0.9864175915718079,0.07772363,0.26603189453530235,0.001,0.1197818,0.09242414,0.020964947
14,0.047217920565376645,0.026214955728265304,0.9738937020301819,0.9869468808174133,0.07084843,0.2706544223113563,0.001,0.10436836,0.08848015,0.019696767
15,0.04499019829990765,0.021806436248972445,0.9783099293708801,0.9893321990966797,0.06493106,0.2622272122306184,0.001,0.091668986,0.08587977,0.017244395
16,0.041880957996502474,0.021255585211741774,0.9788572192192078,0.9899085164070129,0.061942484,0.22367750917570278,0.001,0.08986983,0.07889592,0.017061695
17,0.040645416552266375,0.02377503129500377,0.9763463139533997,0.9886660575866699,0.06543303,0.23608372929378058,0.001,0.09595511,0.08185133,0.018492663
18,0.0395813232031874,0.02266666557215437,0.9774152636528015,0.9888808727264404,0.060715247,0.23369658893099227,0.001,0.09055709,0.07373444,0.017854214
19,0.03835385904525416,0.025934152965304217,0.9741361737251282,0.9880173206329346,0.066429704,0.22351354729538908,0.001,0.092458226,0.088388495,0.018442387
20,0.03711829017907286,0.019453431986555268,0.9806461930274963,0.9907713532447815,0.06510707,0.2132946167367335,0.001,0.08622325,0.09366747,0.015430478
21,0.03585503428888778,0.017968721027615705,0.9821322560310364,0.9915728569030762,0.057439823,0.21253114184156394,0.001,0.0801371,0.07695924,0.015223152
22,0.03455783612431048,0.01837996893291232,0.9817361235618591,0.9914813041687012,0.06200039,0.20367325604342804,0.001,0.092562266,0.078370854,0.015068034
23,0.03362342420096595,0.018508299996581257,0.9815993309020996,0.9911431670188904,0.06579944,0.19792778218706575,0.001,0.07957719,0.10273544,0.015085684
24,0.032431605524910145,0.017380922655516034,0.9827165007591248,0.9915990829467773,0.0532417,0.18798504008081393,0.001,0.078208625,0.06717239,0.014344083
25,0.032464182795807955,0.01697174959544894,0.9831188321113586,0.9921026229858398,0.055399504,0.19301725566958466,0.001,0.072049275,0.07950171,0.014647527
26,0.030863179947240665,0.017397089849544477,0.9826976656913757,0.9918134808540344,0.059147667,0.18000840540892019,0.001,0.07913061,0.0837676,0.01454478
27,0.030579076407435603,0.016361149051521397,0.9837250113487244,0.9921063780784607,0.058121353,0.18243158651521793,0.001,0.069385484,0.090834476,0.014144089
28,0.0299838434773893,0.01592864115026933,0.9841492772102356,0.9923995137214661,0.053745866,0.1801044400364827,0.001,0.071308106,0.07633429,0.013595198
29,0.02946910919091953,0.01590106306196768,0.9841904640197754,0.9927654266357422,0.058308113,0.17049750440512984,0.001,0.0852381,0.07679465,0.012891591
30,0.028951090364791335,0.016392297382596174,0.9837080836296082,0.9921209812164307,0.057644036,0.16599988025693466,0.001,0.081238836,0.07836837,0.013324898
31,0.02796469252711287,0.015567157841935943,0.9845259189605713,0.9923359751701355,0.05330789,0.1688043469200119,0.001,0.06913602,0.07730978,0.01347786
32,0.02777857064439085,0.01573243473149553,0.9843525290489197,0.9924938082695007,0.054853793,0.16551246332189146,0.001,0.06436182,0.08670618,0.013493379
33,0.027114033318175294,0.014625140383273741,0.9854382872581482,0.992922306060791,0.050144378,0.16097721538414209,0.001,0.066303626,0.07111688,0.013012639
34,0.026451503887724954,0.014803358271152159,0.9852802753448486,0.9929611682891846,0.05092379,0.15564924776078032,0.001,0.07572083,0.064076535,0.012974012
35,0.026081359424530128,0.014211989656279359,0.9858474731445312,0.9931246638298035,0.05122811,0.15407616683183767,0.001,0.06563227,0.07602828,0.012023794
36,0.025602998824926993,0.015692885917953297,0.9843850135803223,0.9928548336029053,0.051377285,0.15085952174358855,0.001,0.06681298,0.07410838,0.013210499
